,Qvalue,action,index,left,light,oncoming,reward,right,testing,trial,waypoint
0,1.00939596123,right,2.0,,red,right,1.51914301891,,0.0,1.0,forward
1,1.00963782693,forward,7.0,,green,parado,1.30122455941,,0.0,1.0,left
2,1.00963782693,forward,7.0,,green,parado,1.88929496181,,0.0,1.0,left
3,1.00963782693,forward,7.0,,green,parado,1.94410043832,,0.0,1.0,left
4,1.0020388181,forward,11.0,,red,forward,-10.3549556887,,0.0,1.0,left
5,1.0086333825,forward,15.0,,green,left,0.664303500667,,0.0,1.0,left
6,1.00236998553,left,17.0,,red,parado,-10.498329455,,0.0,1.0,left
7,1.00552544093,parado,4.0,,green,parado,-5.00094033008,,0.0,1.0,left
8,1.00552544093,parado,4.0,,green,parado,-4.91720442086,,0.0,1.0,left
9,1.00963782693,forward,7.0,,green,parado,0.414065275423,,0.0,1.0,left
10,1.00231558753,parado,20.0,,red,left,2.67921685033,,0.0,1.0,left
11,1.00570532555,parado,12.0,,green,left,0.639775121242,,0.0,1.0,left
12,1.00451499065,parado,24.0,,green,forward,-5.46943128455,,0.0,1.0,left
13,1.00155488462,forward,31.0,,green,right,0.708373861276,,0.0,1.0,left
14,1.00963782693,forward,7.0,,green,parado,1.27311423799,,0.0,1.0,left
15,1.00771390449,left,13.0,,green,left,2.04892386897,,0.0,1.0,left
16,1.00745690357,forward,35.0,,red,parado,-9.30700500898,,0.0,1.0,forward
17,1.00969703795,forward,39.0,,green,parado,2.19026433533,,0.0,1.0,forward
18,1.00673510219,left,41.0,,green,right,-19.5282911419,,0.0,1.0,forward
19,1.00863987601,left,45.0,,green,forward,-19.8756095698,,0.0,1.0,forward
20,1.00877809074,parado,48.0,,red,forward,2.39841428524,,0.0,2.0,forward
21,1.00706572259,left,49.0,,red,forward,-9.77988908556,,0.0,2.0,forward
22,1.00706572259,left,49.0,,red,forward,-39.6172259544,,0.0,2.0,forward
23,1.00863987601,left,45.0,,green,forward,-20.602882843,,0.0,2.0,forward
24,1.00351616335,parado,36.0,,green,parado,-5.38677687569,,0.0,2.0,forward
25,1.00593756042,left,33.0,,red,parado,-10.2045181939,,0.0,2.0,forward
26,1.00996248451,parado,32.0,,red,parado,1.50544923806,,0.0,2.0,forward
27,1.00169148211,left,37.0,,green,parado,1.78661783926,,0.0,2.0,forward
28,1.00089481486,left,53.0,,red,left,-9.84021372172,,0.0,2.0,right
29,1.00477268933,forward,59.0,,green,left,1.36213914157,,0.0,2.0,right
30,1.0020654056,parado,60.0,,red,parado,1.27848956785,,0.0,2.0,right
31,1.00429344011,left,61.0,,red,parado,-10.9579263365,,0.0,2.0,right
32,1.0020654056,parado,60.0,,red,parado,1.4118567629,,0.0,2.0,right
33,1.00847004896,left,65.0,,green,parado,-0.121602925617,,0.0,2.0,right
34,1.00520759614,forward,55.0,,red,left,-10.322483658,,0.0,2.0,right
35,1.00089481486,left,53.0,,red,left,-10.4133594581,,0.0,2.0,right
36,1.00477268933,forward,59.0,,green,left,0.471782731244,,0.0,2.0,right
37,1.00367537252,forward,47.0,,green,forward,1.96200156508,,0.0,2.0,forward
38,1.00351616335,parado,36.0,,green,parado,-4.41001564067,,0.0,2.0,forward
39,1.00996248451,parado,32.0,,red,parado,1.44247796651,,0.0,2.0,forward
40,1.00477268933,forward,59.0,,green,left,1.47527758656,,0.0,3.0,right
41,1.00847004896,left,65.0,,green,parado,0.896068583608,,0.0,3.0,right
42,1.00739733374,parado,68.0,,red,forward,1.95526426873,,0.0,3.0,right
43,1.00549663375,forward,71.0,,red,forward,-9.87911028588,,0.0,3.0,right
44,1.00587634084,parado,72.0,,red,right,2.32687776791,,0.0,3.0,right
45,1.00739733374,parado,68.0,,red,forward,1.04551936248,,0.0,3.0,right
46,1.00636173078,forward,79.0,,green,forward,0.821740594358,,0.0,3.0,right
47,1.00996248451,parado,32.0,,red,parado,2.81619683915,,0.0,3.0,forward
48,1.00593756042,left,33.0,,red,parado,-10.7153546767,,0.0,3.0,forward
49,1.00169148211,left,37.0,,green,parado,0.640879901887,,0.0,3.0,forward
50,1.00113486127,parado,76.0,,green,forward,-5.50488713506,,0.0,3.0,right
51,1.00180204446,forward,63.0,,red,parado,-10.6152093111,,0.0,3.0,right
52,1.0020654056,parado,60.0,,red,parado,1.55677320972,,0.0,3.0,right
53,1.00543479481,left,81.0,,green,right,-20.4042870089,,0.0,3.0,right
54,1.00473281875,forward,67.0,,green,parado,0.631687415658,,0.0,3.0,right
55,1.00089481486,left,53.0,,red,left,-9.00480268661,,0.0,3.0,right
56,1.00520759614,forward,55.0,,red,left,-9.47809223282,,0.0,3.0,right
57,1.002951606,parado,56.0,,green,left,-0.3617923419,,0.0,3.0,right
58,1.00113486127,parado,76.0,,green,forward,-5.93875354758,,0.0,3.0,right
59,1.00847004896,left,65.0,,green,parado,-0.485425789899,,0.0,3.0,right
60,1.00051916641,left,29.0,,green,right,-20.4135533156,,0.0,4.0,left
61,1.00001153415,left,5.0,,green,parado,2.66714914882,,0.0,4.0,left
62,1.00552544093,parado,4.0,,green,parado,-4.57610521476,,0.0,4.0,left
63,1.00236998553,left,17.0,,red,parado,-9.44661513471,,0.0,4.0,left
64,1.00838795334,parado,16.0,,red,parado,2.76708177007,,0.0,4.0,left
65,1.00963782693,forward,7.0,,green,parado,0.871778180374,,0.0,4.0,left
66,1.00552544093,parado,4.0,,green,parado,-5.77896587167,,0.0,4.0,left
67,1.00462465733,forward,19.0,,red,parado,-10.9699829334,,0.0,4.0,left
68,1.00533699864,right,22.0,,red,left,-20.5841991653,,0.0,4.0,left
69,1.0086333825,forward,15.0,,green,left,1.77024137918,,0.0,4.0,left
70,1.0020388181,forward,11.0,,red,forward,-9.19413869596,,0.0,4.0,left
71,1.0086333825,forward,15.0,,green,left,1.66745622227,,0.0,4.0,left
72,1.00231558753,parado,20.0,,red,left,1.19066533089,,0.0,4.0,left
73,1.0086333825,forward,15.0,,green,left,0.217593805298,,0.0,4.0,left
74,1.00838795334,parado,16.0,,red,parado,2.09338055326,,0.0,4.0,left
75,1.00838795334,parado,16.0,,red,parado,2.4670578664,,0.0,4.0,left
76,1.0086333825,forward,15.0,,green,left,-0.512953690633,,0.0,4.0,left
77,1.00570532555,parado,12.0,,green,left,-0.22042822572,,0.0,4.0,left
78,1.00552544093,parado,4.0,,green,parado,-4.21690227893,,0.0,4.0,left
79,1.00393216115,parado,8.0,,red,forward,0.943324863997,,0.0,4.0,left
