,Qvalue,action,light,oncoming,waypoint
0,1.34539899576,parado,red,parado,left
1,-11.892134932,left,red,parado,left
2,1.00898929609,right,red,parado,left
3,-36.2888646979,forward,red,parado,left
4,1.00357025277,parado,red,right,left
5,-19.4253065599,left,red,right,left
6,0.982376871216,right,red,right,left
7,-24.3851859607,forward,red,right,left
8,2.33848675614,parado,red,left,left
9,-4.25449501704,left,red,left,left
10,0.772472439475,right,red,left,left
11,-23.9015543316,forward,red,left,left
12,-4.90795776702,parado,green,parado,right
13,0.339962210616,left,green,parado,right
14,2.47521009872,right,green,parado,right
15,0.345077182308,forward,green,parado,right
16,-5.29197701135,parado,green,parado,left
17,2.08209608239,left,green,parado,left
18,1.00110772921,right,green,parado,left
19,0.302241089695,forward,green,parado,left
20,1.51275966421,parado,red,parado,forward
21,-9.87814849473,left,red,parado,forward
22,0.685838324804,right,red,parado,forward
23,-10.9865469666,forward,red,parado,forward
24,-4.97853407906,parado,green,parado,forward
25,0.693221957849,left,green,parado,forward
26,1.00859576864,right,green,parado,forward
27,1.49846149902,forward,green,parado,forward
28,1.49415669495,parado,red,left,right
29,-10.1904405998,left,red,left,right
30,1.00557218905,right,red,left,right
31,-13.2391940888,forward,red,left,right
32,0.568883464539,parado,green,left,right
33,0.869984295399,left,green,left,right
34,1.57352122577,right,green,left,right
35,0.0960987598073,forward,green,left,right
36,2.1029872163,parado,red,parado,right
37,-9.71501781019,left,red,parado,right
38,1.00923378677,right,red,parado,right
39,-13.6392718324,forward,red,parado,right
40,2.47702357753,parado,red,right,right
41,-19.1906524081,left,red,right,right
42,1.00217437304,right,red,right,right
43,-22.0280346457,forward,red,right,right
44,1.84588933715,parado,red,right,forward
45,1.00235239331,left,red,right,forward
46,1.00044517986,right,red,right,forward
47,-4.27812119979,forward,red,right,forward
48,1.84531630757,parado,red,forward,right
49,-11.0243882833,left,red,forward,right
50,1.00908939308,right,red,forward,right
51,-25.1783445999,forward,red,forward,right
52,-4.90180585186,parado,green,forward,right
53,-19.4384880953,left,green,forward,right
54,1.34893206264,right,green,forward,right
55,0.433560252388,forward,green,forward,right
56,-2.30642926152,parado,green,right,left
57,-9.74239202864,left,green,right,left
58,0.840661569053,right,green,right,left
59,0.238220995264,forward,green,right,left
60,2.10882198667,parado,red,left,forward
61,-10.1658760296,left,red,left,forward
62,1.00745957856,right,red,left,forward
63,-24.8015868631,forward,red,left,forward
64,0.965671512686,parado,green,left,forward
65,0.759005532907,left,green,left,forward
66,0.812288359701,right,green,left,forward
67,1.80718081897,forward,green,left,forward
68,-1.82688297612,parado,green,right,forward
69,-9.33511312209,left,green,right,forward
70,1.00071967211,right,green,right,forward
71,2.03018972389,forward,green,right,forward
72,-4.13882109944,parado,green,right,right
73,-9.10056633962,left,green,right,right
74,1.47653764319,right,green,right,right
75,1.24286222962,forward,green,right,right
76,0.694226130062,parado,green,left,left
77,2.22512489767,left,green,left,left
78,1.00263194526,right,green,left,left
79,1.07189151246,forward,green,left,left
80,2.19843051192,parado,red,forward,left
81,-8.71012487936,left,red,forward,left
82,0.574868151666,right,red,forward,left
83,-6.57973506958,forward,red,forward,left
84,-3.20333704434,parado,green,forward,forward
85,-9.55190577197,left,green,forward,forward
86,1.00171354752,right,green,forward,forward
87,1.1570146717,forward,green,forward,forward
88,-2.45302432038,parado,green,forward,left
89,-9.69274695082,left,green,forward,left
90,0.655482413621,right,green,forward,left
91,0.29096007907,forward,green,forward,left
92,1.14416745434,parado,red,forward,forward
93,-7.14809825413,left,red,forward,forward
94,1.00450944741,right,red,forward,forward
95,1.00412732366,forward,red,forward,forward
