,Qvalue,action,light,oncoming,waypoint
0,-4.59368014427,parado,green,parado,forward
1,0.8924188581,left,green,parado,forward
2,1.00980137241,right,green,parado,forward
3,2.30044694959,forward,green,parado,forward
4,1.79388088617,parado,red,parado,right
5,-10.7054217896,left,red,parado,right
6,-8.47961624232,right,red,parado,right
7,-29.6277277799,forward,red,parado,right
8,-4.78064536205,parado,green,parado,right
9,0.639412805495,left,green,parado,right
10,1.74725728511,right,green,parado,right
11,0.886837825059,forward,green,parado,right
12,1.01870214391,parado,green,left,right
13,0.358148368899,left,green,left,right
14,1.83627681837,right,green,left,right
15,0.997763004318,forward,green,left,right
16,1.51457360287,parado,red,parado,left
17,-12.1463343576,left,red,parado,left
18,1.10919505756,right,red,parado,left
19,-12.7619398141,forward,red,parado,left
20,-5.087405316,parado,green,parado,left
21,1.70466202367,left,green,parado,left
22,0.415595156338,right,green,parado,left
23,1.12145275098,forward,green,parado,left
24,2.29246970839,parado,red,parado,forward
25,-9.66593377947,left,red,parado,forward
26,-9.45532758024,right,red,parado,forward
27,-12.981082367,forward,red,parado,forward
28,2.05684615957,parado,red,right,forward
29,-18.9733445942,left,red,right,forward
30,1.11873185162,right,red,right,forward
31,-9.55673415072,forward,red,right,forward
32,1.71193062205,parado,red,left,right
33,-8.64894654333,left,red,left,right
34,-9.1335023357,right,red,left,right
35,-30.4316861928,forward,red,left,right
36,1.4559107608,parado,red,forward,left
37,-23.0293249968,left,red,forward,left
38,1.17737412937,right,red,forward,left
39,-23.5259490869,forward,red,forward,left
40,2.45963137836,parado,red,forward,forward
41,-12.3603050567,left,red,forward,forward
42,1.09446424222,right,red,forward,forward
43,-11.2176413781,forward,red,forward,forward
44,-4.17234661626,parado,green,forward,forward
45,-9.42488144248,left,green,forward,forward
46,1.1515615885,right,green,forward,forward
47,1.63976456094,forward,green,forward,forward
48,1.04476385582,parado,green,left,left
49,1.50298236489,left,green,left,left
50,1.14844845686,right,green,left,left
51,0.363439054382,forward,green,left,left
52,2.25787542986,parado,red,right,left
53,-19.4425261919,left,red,right,left
54,2.00669569421,right,red,right,left
55,-3.56162633223,forward,red,right,left
56,-4.57355841452,parado,green,forward,left
57,-14.3380575679,left,green,forward,left
58,1.26977149062,right,green,forward,left
59,0.402811627913,forward,green,forward,left
60,-3.48636206776,parado,green,right,left
61,-16.9472004947,left,green,right,left
62,0.787882951574,right,green,right,left
63,1.2678950282,forward,green,right,left
64,-3.59473386604,parado,green,right,forward
65,-14.0812807035,left,green,right,forward
66,0.84532731824,right,green,right,forward
67,1.88126608086,forward,green,right,forward
68,-4.21317399822,parado,green,forward,right
69,-19.1171349609,left,green,forward,right
70,2.00165888701,right,green,forward,right
71,0.804147589473,forward,green,forward,right
72,1.82240126897,parado,red,left,forward
73,-14.7867123092,left,red,left,forward
74,0.865746011227,right,red,left,forward
75,-10.670938283,forward,red,left,forward
76,0.614605388339,parado,green,left,forward
77,0.40484548015,left,green,left,forward
78,1.07895920059,right,green,left,forward
79,2.08794398534,forward,green,left,forward
80,2.34182868415,parado,red,left,left
81,-7.5879639716,left,red,left,left
82,0.921268501247,right,red,left,left
83,-24.6526192131,forward,red,left,left
84,2.62230104133,parado,red,forward,right
85,-8.04451191996,left,red,forward,right
86,-9.27201494281,right,red,forward,right
87,-7.28493077546,forward,red,forward,right
88,1.72441163956,parado,red,right,right
89,-18.7436714224,left,red,right,right
90,1.90726633171,right,red,right,right
91,-4.37437237496,forward,red,right,right
92,-1.65628264016,parado,green,right,right
93,-14.166698988,left,green,right,right
94,1.77316721274,right,green,right,right
95,1.30154832594,forward,green,right,right
