,Qvalue,action,light,oncoming,waypoint
0,1.45925656457,parado,red,parado,forward
1,-22.4472009155,left,red,parado,forward
2,0.00390718813016,right,red,parado,forward
3,-10.3209558306,forward,red,parado,forward
4,1.79206032879,parado,red,right,forward
5,-30.532239336,left,red,right,forward
6,0.000156283641056,right,red,right,forward
7,-7.65323144019,forward,red,right,forward
8,-2.97751950623,parado,green,right,forward
9,0.000585463443322,left,green,right,forward
10,0.00555132447737,right,green,right,forward
11,1.59172082286,forward,green,right,forward
12,-4.95644831462,parado,green,parado,forward
13,0.0885742047801,left,green,parado,forward
14,0.00563144668542,right,green,parado,forward
15,1.50414853661,forward,green,parado,forward
16,0.281183051943,parado,green,left,right
17,0.528105750364,left,green,left,right
18,0.00189701296436,right,green,left,right
19,0.976773319727,forward,green,left,right
20,-5.01128271158,parado,green,forward,right
21,-15.3334566774,left,green,forward,right
22,0.000642959137696,right,green,forward,right
23,1.08748127805,forward,green,forward,right
24,-5.17724506287,parado,green,parado,right
25,0.159856081276,left,green,parado,right
26,0.00171043232844,right,green,parado,right
27,0.0571151392694,forward,green,parado,right
28,0.00919204103596,parado,green,right,right
29,-15.2059932752,left,green,right,right
30,0.00973422561259,right,green,right,right
31,0.194958763125,forward,green,right,right
32,1.80053026013,parado,red,parado,right
33,-10.2476585442,left,red,parado,right
34,0.000954072257387,right,red,parado,right
35,-17.1416542452,forward,red,parado,right
36,1.66104862426,parado,red,right,right
37,-30.1958714569,left,red,right,right
38,0.00434914184915,right,red,right,right
39,-11.4774178083,forward,red,right,right
40,1.13749272584,parado,red,left,right
41,-9.21344629254,left,red,left,right
42,0.0081154941847,right,red,left,right
43,-9.87472044502,forward,red,left,right
44,0.614132591923,parado,green,left,forward
45,0.682830638148,left,green,left,forward
46,0.00419009395006,right,green,left,forward
47,1.80990493628,forward,green,left,forward
48,-0.0216544438977,parado,green,left,left
49,1.3424713899,left,green,left,left
50,0.036601849153,right,green,left,left
51,0.000956174590312,forward,green,left,left
52,1.80805803671,parado,red,left,forward
53,-4.51830573536,left,red,left,forward
54,0.00845723722977,right,red,left,forward
55,-8.85208799931,forward,red,left,forward
56,1.51630785026,parado,red,forward,right
57,-7.54489676066,left,red,forward,right
58,0.00141076358972,right,red,forward,right
59,-7.77265133183,forward,red,forward,right
60,1.25117733092,parado,red,parado,left
61,-8.77813587284,left,red,parado,left
62,-9.45689664666,right,red,parado,left
63,-12.0811755069,forward,red,parado,left
64,1.41236322275,parado,red,forward,left
65,-7.06211145021,left,red,forward,left
66,0.00403123883765,right,red,forward,left
67,-7.28399591608,forward,red,forward,left
68,-4.44462740804,parado,green,forward,left
69,-16.9609417619,left,green,forward,left
70,0.00134246004698,right,green,forward,left
71,0.695355170737,forward,green,forward,left
72,1.85141215533,parado,red,left,left
73,-17.633373485,left,red,left,left
74,0.00154525146175,right,red,left,left
75,-13.2689111523,forward,red,left,left
76,-4.55435380776,parado,green,parado,left
77,2.31894234938,left,green,parado,left
78,0.00418328875974,right,green,parado,left
79,0.0875620089726,forward,green,parado,left
80,1.60818809409,parado,red,forward,forward
81,-9.49764472914,left,red,forward,forward
82,0.00987494410578,right,red,forward,forward
83,-10.2249465882,forward,red,forward,forward
84,-4.92444416722,parado,green,forward,forward
85,-9.731691445,left,green,forward,forward
86,0.00738428722794,right,green,forward,forward
87,1.91417767407,forward,green,forward,forward
88,0.00118028266302,parado,red,right,left
89,-37.1680562897,left,red,right,left
90,-10.1368941682,right,red,right,left
91,0.00696632530093,forward,red,right,left
92,-2.41513539002,parado,green,right,left
93,-9.88294538409,left,green,right,left
94,0.000723260919967,right,green,right,left
95,0.0045304074516,forward,green,right,left
