,Qvalue,action,index,left,light,oncoming,reward,right,testing,trial,waypoint
0,2.00268732149,parado,0.0,,red,right,1.47002741743,,0.0,1.0,forward
1,2.00243566349,left,5.0,,red,parado,-10.0252516395,,0.0,1.0,forward
2,2.00243566349,left,5.0,,red,parado,-9.53259606842,,0.0,1.0,forward
3,2.00173628553,parado,4.0,,red,parado,2.54771026283,,0.0,1.0,forward
4,2.00373534741,left,9.0,,green,parado,0.0781281655473,,0.0,1.0,forward
5,2.0037779484,left,13.0,,red,forward,-10.1547334649,,0.0,1.0,right
6,2.00198755289,left,17.0,,green,forward,-19.9564853321,,0.0,1.0,right
7,2.00178482136,parado,20.0,,green,left,0.983911623728,,0.0,1.0,right
8,2.00946240863,forward,23.0,,green,left,0.296504789738,,0.0,1.0,right
9,2.00617567377,right,26.0,,red,parado,-19.2720564383,,0.0,1.0,right
10,2.00604865464,left,25.0,,red,parado,-9.08664437005,,0.0,1.0,right
11,2.0083449064,forward,31.0,,green,parado,1.11955316705,,0.0,1.0,right
12,2.00515698996,left,29.0,,green,parado,-0.203373591367,,0.0,1.0,right
13,2.00969074779,left,33.0,,red,parado,-39.6726543957,,0.0,1.0,left
14,2.00928656459,forward,35.0,,red,parado,-9.24588189065,,0.0,1.0,left
15,2.00198948926,parado,36.0,,green,parado,-5.05967573502,,0.0,1.0,left
16,2.00693937137,left,41.0,,green,right,-20.3537941862,,0.0,1.0,left
17,2.00969074779,left,33.0,,red,parado,-9.71395682488,,0.0,1.0,left
18,2.00969074779,left,33.0,,red,parado,-9.71570314679,,0.0,1.0,left
19,2.00870754821,forward,39.0,,green,parado,-0.0690087952138,,0.0,1.0,left
20,2.00373534741,left,9.0,,green,parado,0.433967361982,,0.0,1.0,forward
21,2.00604865464,left,25.0,,red,parado,-10.8048111749,,0.0,1.0,right
22,2.00617567377,right,26.0,,red,parado,2.21409146596,,0.0,1.0,right
23,2.00919238982,right,6.0,,red,parado,0.721624236156,,0.0,1.0,forward
24,2.00969074779,left,33.0,,red,parado,-40.2499809154,,0.0,1.0,left
25,2.00695210205,left,45.0,,red,left,-40.5688198882,,0.0,2.0,left
26,2.00875192958,parado,44.0,,red,left,2.8067470383,,0.0,2.0,left
27,2.00875192958,parado,44.0,,red,left,1.3956928498,,0.0,2.0,left
28,2.00875192958,parado,44.0,,red,left,1.86113815447,,0.0,2.0,left
29,2.00071617574,forward,47.0,,red,left,-9.24936936123,,0.0,2.0,left
30,2.00695210205,left,45.0,,red,left,-10.997650655,,0.0,2.0,left
31,2.00547282333,parado,48.0,,green,left,1.13071794024,,0.0,2.0,left
32,2.00547282333,parado,48.0,,green,left,1.5837349173,,0.0,2.0,left
33,2.00198948926,parado,36.0,,green,parado,-5.82795602693,,0.0,2.0,left
34,2.00870754821,forward,39.0,,green,parado,1.58144627887,,0.0,2.0,left
35,2.00928656459,forward,35.0,,red,parado,-10.5509484876,,0.0,2.0,left
36,2.00969074779,left,33.0,,red,parado,-9.66345495855,,0.0,2.0,left
37,2.00652606969,forward,55.0,,red,forward,-9.7850093203,,0.0,2.0,left
38,2.00512424019,left,57.0,,green,forward,-19.8273288877,,0.0,2.0,left
39,2.00870754821,forward,39.0,,green,parado,1.20640865901,,0.0,2.0,left
40,2.00875192958,parado,44.0,,red,left,0.704264204484,,0.0,2.0,left
41,2.00547282333,parado,48.0,,green,left,-0.0500891398802,,0.0,2.0,left
42,2.00198948926,parado,36.0,,green,parado,-5.66996284795,,0.0,2.0,left
43,2.00198948926,parado,36.0,,green,parado,-4.01989768577,,0.0,2.0,left
44,2.00276498092,parado,32.0,,red,parado,1.8232200588,,0.0,2.0,left
45,2.0012777745,forward,15.0,,red,forward,-39.196491661,,0.0,3.0,right
46,2.00591610322,parado,12.0,,red,forward,1.71035962825,,0.0,3.0,right
47,2.00950763635,right,62.0,,red,left,1.91146275938,,0.0,3.0,right
48,2.00681859755,forward,67.0,,green,forward,1.61283389443,,0.0,3.0,forward
49,2.00604865464,left,25.0,,red,parado,-10.6852189701,,0.0,3.0,right
50,2.0083449064,forward,31.0,,green,parado,0.825435334573,,0.0,3.0,right
51,2.00178482136,parado,20.0,,green,left,1.19832778107,,0.0,3.0,right
52,2.00544739572,forward,19.0,,green,forward,0.500476009987,,0.0,3.0,right
53,2.00946240863,forward,23.0,,green,left,0.276509718189,,0.0,3.0,right
54,2.00517690526,forward,27.0,,red,parado,-39.698855267,,0.0,3.0,right
55,2.00604865464,left,25.0,,red,parado,-10.0851173435,,0.0,3.0,right
56,2.00517690526,forward,27.0,,red,parado,-10.7848099828,,0.0,3.0,right
57,2.00591610322,parado,12.0,,red,forward,1.60301473716,,0.0,3.0,right
58,2.00946240863,forward,23.0,,green,left,1.59837297491,,0.0,3.0,right
59,2.00243566349,left,5.0,,red,parado,-40.518789753,,0.0,3.0,forward
60,2.00373534741,left,9.0,,green,parado,0.0232141222426,,0.0,3.0,forward
61,2.00921580435,forward,63.0,,red,left,-9.76717144737,,0.0,3.0,right
62,2.00123917823,left,21.0,,green,left,0.534304013776,,0.0,3.0,right
63,2.00782433062,left,69.0,,red,left,-40.7105462469,,0.0,3.0,forward
64,2.00482061585,parado,72.0,,green,left,0.88291979579,,0.0,3.0,forward
65,2.00969074779,left,33.0,,red,parado,-10.1577119898,,0.0,4.0,left
66,2.00276498092,parado,32.0,,red,parado,1.90976485548,,0.0,4.0,left
67,2.00969074779,left,33.0,,red,parado,-10.2553905571,,0.0,4.0,left
68,2.00928656459,forward,35.0,,red,parado,-10.2469500162,,0.0,4.0,left
69,2.00969074779,left,33.0,,red,parado,-9.93931739926,,0.0,4.0,left
70,2.00693937137,left,41.0,,green,right,-20.7336970083,,0.0,4.0,left
71,2.00534420295,forward,43.0,,green,right,1.35569115246,,0.0,4.0,left
72,2.00080446027,forward,51.0,,green,left,1.47528397553,,0.0,4.0,left
