,Qvalue,action,index,left,light,oncoming,reward,right,testing,trial,waypoint
0,-9.16672323159,left,1.0,,green,right,-19.0891322257,,0.0,1.0,forward
1,-14.4062871353,left,1.0,,green,right,-19.8989775063,,0.0,1.0,forward
2,1.28967119633,left,5.0,,green,parado,1.82351162879,,0.0,1.0,forward
3,-2.29740423648,parado,8.0,,green,parado,-5.74023542699,,0.0,1.0,right
4,-19.6963049214,left,13.0,,red,parado,-40.1546413583,,0.0,1.0,right
5,-5.08200020245,forward,15.0,,red,parado,-10.9199089895,,0.0,1.0,right
6,-4.40821347058,forward,19.0,,red,left,-9.57039717957,,0.0,1.0,right
7,1.1510186446,parado,20.0,,green,left,1.53816674069,,0.0,1.0,right
8,-9.54249187397,left,25.0,,green,forward,-20.1678838155,,0.0,1.0,right
9,1.19185684357,left,21.0,,green,left,1.62222785403,,0.0,1.0,right
10,1.8843381277,left,29.0,,green,parado,2.67217045354,,0.0,1.0,left
11,0.646200530408,parado,32.0,,green,left,-0.159267021211,,0.0,1.0,left
12,-2.2170194173,parado,28.0,,green,parado,-5.26496162409,,0.0,1.0,left
13,-3.90754955578,left,37.0,,red,parado,-9.264286957,,0.0,1.0,left
14,-19.6204550153,forward,39.0,,red,parado,-39.9969471437,,0.0,1.0,left
15,-14.8436462932,forward,39.0,,red,parado,-10.3186597241,,0.0,1.0,left
16,-12.5878141652,forward,39.0,,red,parado,-10.5838041904,,0.0,1.0,left
17,-3.30805449924,parado,28.0,,green,parado,-4.65091173427,,0.0,1.0,left
18,-3.64857397751,parado,28.0,,green,parado,-4.93126251963,,0.0,1.0,left
19,1.70904266703,left,29.0,,green,parado,0.591578142511,,0.0,1.0,left
20,-11.3955417241,forward,39.0,,red,parado,-10.4532692829,,0.0,2.0,left
21,0.415621473659,right,38.0,,red,parado,0.0757764880184,,0.0,2.0,left
22,1.02512167198,parado,40.0,,red,forward,1.29542794337,,0.0,2.0,right
23,1.41607442482,forward,27.0,,green,forward,1.81655542828,,0.0,2.0,right
24,1.42434448509,parado,12.0,,red,parado,1.64054025663,,0.0,2.0,right
25,-2.84781824845,parado,8.0,,green,parado,-4.11040450297,,0.0,2.0,right
26,0.437101930972,forward,11.0,,green,parado,0.119313416879,,0.0,2.0,right
27,1.55756654073,parado,12.0,,red,parado,1.43603652823,,0.0,2.0,right
28,-14.5181990209,left,13.0,,red,parado,-10.1188763908,,0.0,2.0,right
29,2.12852234666,parado,12.0,,red,parado,1.92069488222,,0.0,2.0,right
30,1.43186726849,right,10.0,,green,parado,1.28996922737,,0.0,2.0,right
31,1.83695589283,forward,7.0,,green,parado,2.4566676064,,0.0,2.0,forward
32,-24.8680075424,forward,39.0,,red,parado,-39.2589513071,,0.0,2.0,left
33,-17.3873009611,forward,39.0,,red,parado,-10.1577542649,,0.0,2.0,left
34,0.857986350253,parado,36.0,,red,parado,0.962493045734,,0.0,2.0,left
35,-7.15283125394,left,37.0,,red,parado,-10.8271061272,,0.0,2.0,left
36,2.12085627374,left,29.0,,green,parado,2.10367670531,,0.0,2.0,left
37,-7.34733889849,forward,19.0,,red,left,-10.5364643264,,0.0,3.0,right
38,-4.88896973673,left,17.0,,red,left,-10.542090222,,0.0,3.0,right
39,-8.2162736443,forward,19.0,,red,left,-9.3384462237,,0.0,3.0,right
40,1.69773041098,parado,16.0,,red,left,2.63574732116,,0.0,3.0,right
41,-23.6931590942,forward,19.0,,red,left,-40.0189097496,,0.0,3.0,right
42,1.85072038932,parado,16.0,,red,left,1.15484516217,,0.0,3.0,right
43,1.45947616532,parado,20.0,,green,left,0.842573491382,,0.0,3.0,right
44,0.985316509492,left,9.0,,green,parado,0.738739667275,,0.0,3.0,right
45,-4.0958264335,forward,47.0,,red,left,-9.41508707679,,0.0,3.0,left
46,-4.59232557885,left,45.0,,red,left,-9.94127579047,,0.0,3.0,left
47,1.31462504033,parado,44.0,,red,left,1.86892924399,,0.0,3.0,left
48,1.14548050839,parado,32.0,,green,left,0.987447966198,,0.0,3.0,left
49,0.421331216266,forward,35.0,,green,left,-0.236399110978,,0.0,3.0,left
50,-21.5612560331,forward,47.0,,red,left,-39.5994258869,,0.0,3.0,left
51,1.27763979084,parado,44.0,,red,left,0.583342021178,,0.0,3.0,left
52,2.0604606389,parado,44.0,,red,left,2.20446159154,,0.0,3.0,left
53,-21.4183908168,left,45.0,,red,left,-39.2746863743,,0.0,3.0,left
54,1.25504603504,parado,32.0,,green,left,0.334381242243,,0.0,3.0,left
55,1.63506302701,left,29.0,,green,parado,0.521746762769,,0.0,3.0,left
56,0.816184055262,forward,23.0,,green,left,0.314573279226,,0.0,3.0,right
57,2.1116244239,left,29.0,,green,parado,2.33818582079,,0.0,4.0,left
58,-18.77427042,left,49.0,,red,right,-39.1135240111,,0.0,4.0,left
59,-8.34661118403,left,37.0,,red,parado,-9.79458856224,,0.0,4.0,left
60,-13.6806623461,forward,39.0,,red,parado,-10.4030169061,,0.0,4.0,left
61,-26.6295621549,forward,39.0,,red,parado,-40.0074551389,,0.0,4.0,left
62,1.79340429207,parado,36.0,,red,parado,2.29982905876,,0.0,4.0,left
63,-1.65341633539,parado,52.0,,green,right,-4.70969761384,,0.0,4.0,left
64,1.8878550748,left,29.0,,green,parado,1.4097985331,,0.0,4.0,left
65,-19.446647935,left,57.0,,red,parado,-40.3469010766,,0.0,4.0,forward
66,0.366184603831,right,62.0,,green,forward,-0.0282736027582,,0.0,4.0,forward
67,-15.9274316754,forward,47.0,,red,left,-10.5475993148,,0.0,4.0,left
68,1.37039083813,forward,35.0,,green,left,1.28922014055,,0.0,4.0,left
69,1.41314204527,forward,31.0,,green,parado,1.63514240619,,0.0,4.0,left
70,-24.0763734844,left,37.0,,red,parado,-40.7500633221,,0.0,4.0,left
71,-16.5145906473,left,37.0,,red,parado,-9.84950995619,,0.0,4.0,left
72,2.6599261445,parado,36.0,,red,parado,2.62974585089,,0.0,4.0,left
73,2.18345980615,left,29.0,,green,parado,1.14910146524,,0.0,4.0,left
74,-13.7222077202,left,57.0,,red,parado,-9.08949740854,,0.0,4.0,forward
75,1.66285873837,parado,56.0,,red,parado,2.56909374325,,0.0,4.0,forward
76,1.16107917465,forward,63.0,,green,forward,0.982744985839,,0.0,4.0,forward
77,1.43032358606,forward,67.0,,green,left,1.77987983814,,0.0,4.0,forward
78,2.59407099871,left,29.0,,green,parado,2.28952039823,,0.0,4.0,left
79,-25.7650306449,left,57.0,,red,parado,-39.1048890688,,0.0,4.0,forward
80,2.51531849464,forward,7.0,,green,parado,2.36225172726,,0.0,4.0,forward
81,0.543446110505,forward,71.0,,green,forward,0.327144966509,,0.0,5.0,left
82,2.12813350446,left,29.0,,green,parado,1.39047295497,,0.0,5.0,left
83,1.56643358257,left,5.0,,green,parado,0.77912921658,,0.0,5.0,forward
84,2.27143938099,right,74.0,,green,right,2.77702737055,,0.0,5.0,right
85,-9.35204263851,left,61.0,,green,forward,-20.3440521808,,0.0,5.0,forward
86,2.87486321371,forward,7.0,,green,parado,2.65386834545,,0.0,5.0,forward
87,1.47146834315,left,21.0,,green,left,0.31364823588,,0.0,5.0,right
88,1.16141169079,left,21.0,,green,left,0.115620866853,,0.0,5.0,right
89,2.41620000234,left,29.0,,green,parado,1.97452841756,,0.0,5.0,left
90,2.73787180762,left,29.0,,green,parado,1.85144361173,,0.0,5.0,left
91,1.79958817712,forward,11.0,,green,parado,1.79313851945,,0.0,5.0,right
92,2.13314892553,parado,12.0,,red,parado,1.23798141585,,0.0,5.0,right
93,-7.2453611266,forward,15.0,,red,parado,-10.4752965135,,0.0,5.0,right
94,-3.23580927129,parado,8.0,,green,parado,-4.69037475689,,0.0,5.0,right
95,2.65701411906,right,74.0,,green,right,2.14279476857,,0.0,5.0,right
96,1.63016828027,forward,27.0,,green,forward,0.515755076201,,0.0,5.0,right
97,1.63930931278,parado,76.0,,red,right,1.95820450836,,0.0,5.0,right
98,1.83281756643,forward,11.0,,green,parado,1.04639229936,,0.0,5.0,right
99,-2.09084571243,parado,72.0,,green,right,-5.60411343714,,0.0,5.0,right
