,Qvalue,action,index,left,light,oncoming,reward,right,testing,trial,waypoint
0,1.88393017746,left,1.0,,green,parado,1.75786748093,,0.0,1.0,forward
1,-4.46820057899,left,5.0,,red,parado,-10.9459146452,,0.0,1.0,right
2,-4.25017760146,forward,7.0,,red,parado,-10.502203319,,0.0,1.0,right
3,-7.70812951648,left,5.0,,red,parado,-10.948058454,,0.0,1.0,right
4,-1.09322451726,parado,8.0,,green,parado,-4.19363803661,,0.0,1.0,right
5,1.35556515561,left,13.0,,green,left,0.702396904582,,0.0,1.0,right
6,1.91664597977,left,9.0,,green,parado,1.82996166754,,0.0,1.0,right
7,-3.93410982311,forward,19.0,,red,parado,-9.87736642454,,0.0,1.0,left
8,-18.5778932549,left,17.0,,red,parado,-39.1617010548,,0.0,1.0,left
9,1.83125814994,left,21.0,,green,parado,1.65628733989,,0.0,1.0,left
10,1.47267079553,parado,24.0,,red,parado,0.939031707791,,0.0,1.0,forward
11,-4.19335684224,forward,31.0,,red,right,-10.3894900458,,0.0,1.0,forward
12,1.68110955667,parado,24.0,,red,parado,1.8895483178,,0.0,1.0,forward
13,0.832548739285,left,1.0,,green,parado,-0.218832698889,,0.0,1.0,forward
14,-9.16749743466,left,5.0,,red,parado,-10.6268653528,,0.0,1.0,right
15,-6.71382488422,forward,7.0,,red,parado,-9.17747216698,,0.0,1.0,right
16,1.36868329935,left,9.0,,green,parado,0.82072061892,,0.0,1.0,right
17,1.59250092554,forward,15.0,,green,left,1.18299042654,,0.0,1.0,right
18,1.65346790379,parado,4.0,,red,parado,1.30553053908,,0.0,1.0,right
19,-4.27380122921,left,33.0,,red,left,-10.5543030473,,0.0,1.0,right
20,-13.8803137733,left,17.0,,red,parado,-9.18273429157,,0.0,2.0,left
21,-7.4119865466,forward,19.0,,red,parado,-10.8898632701,,0.0,2.0,left
22,1.80044317579,right,38.0,,red,forward,1.59148272267,,0.0,2.0,left
23,2.34320048836,left,21.0,,green,parado,2.85514282679,,0.0,2.0,left
24,2.06260328301,left,21.0,,green,parado,1.78200607766,,0.0,2.0,left
25,2.02736970669,parado,24.0,,red,parado,2.37362985672,,0.0,2.0,forward
