,Qvalue,action,index,left,light,oncoming,reward,right,testing,trial,waypoint
0,0.0581758751516,forward,3.0,,green,parado,0.0581758751516,,0.0,1.0,left
1,-9.69830210968,left,5.0,,red,left,-9.69830210968,,0.0,1.0,left
2,-9.56708238292,left,5.0,,red,left,-9.56708238292,,0.0,1.0,left
3,-10.9288090431,forward,7.0,,red,left,-10.9288090431,,0.0,1.0,left
4,2.6464834736,parado,4.0,,red,left,2.6464834736,,0.0,1.0,left
5,-9.14359630338,forward,7.0,,red,left,-9.14359630338,,0.0,1.0,left
6,0.122795490292,forward,11.0,,green,left,0.122795490292,,0.0,1.0,left
7,0.683608129761,forward,11.0,,green,left,0.683608129761,,0.0,1.0,left
8,-5.45363251866,parado,0.0,,green,parado,-5.45363251866,,0.0,1.0,left
9,-9.72559128947,forward,15.0,,red,parado,-9.72559128947,,0.0,1.0,left
10,-9.1553410836,forward,15.0,,red,parado,-9.1553410836,,0.0,1.0,left
11,-0.000265861624223,right,14.0,,red,parado,-0.000265861624223,,0.0,1.0,left
12,-5.77387174659,parado,16.0,,green,parado,-5.77387174659,,0.0,1.0,forward
13,1.52397647718,parado,20.0,,red,parado,1.52397647718,,0.0,1.0,forward
14,2.65348600897,parado,20.0,,red,parado,2.65348600897,,0.0,1.0,forward
15,2.63034624852,forward,19.0,,green,parado,2.63034624852,,0.0,1.0,forward
16,1.35048076663,left,17.0,,green,parado,1.35048076663,,0.0,1.0,forward
17,-9.12175282175,left,25.0,,red,parado,-9.12175282175,,0.0,1.0,right
18,-10.7221177629,forward,27.0,,red,parado,-10.7221177629,,0.0,1.0,right
19,0.577475262589,forward,31.0,,green,right,0.577475262589,,0.0,1.0,right
20,-9.85064227481,forward,35.0,,red,forward,-9.85064227481,,0.0,1.0,right
21,0.80379456286,forward,39.0,,green,forward,0.80379456286,,0.0,1.0,right
22,-10.4797038437,forward,27.0,,red,parado,-10.4797038437,,0.0,1.0,right
23,-40.3939733178,left,25.0,,red,parado,-40.3939733178,,0.0,1.0,right
24,-9.74907871537,left,25.0,,red,parado,-9.74907871537,,0.0,1.0,right
25,0.0401379856441,left,17.0,,green,parado,0.0401379856441,,0.0,2.0,forward
26,1.75861643409,left,41.0,,green,parado,1.75861643409,,0.0,2.0,right
27,1.76953743529,parado,44.0,,red,left,1.76953743529,,0.0,2.0,right
28,-10.9301091479,left,45.0,,red,left,-10.9301091479,,0.0,2.0,right
29,1.57867657509,parado,44.0,,red,left,1.57867657509,,0.0,2.0,right
30,-10.5460385157,left,45.0,,red,left,-10.5460385157,,0.0,2.0,right
31,1.11623424968,parado,48.0,,green,left,1.11623424968,,0.0,2.0,right
32,0.408628978697,forward,43.0,,green,parado,0.408628978697,,0.0,2.0,right
33,1.39240755297,left,41.0,,green,parado,1.39240755297,,0.0,2.0,right
34,1.23658303704,forward,3.0,,green,parado,1.23658303704,,0.0,2.0,left
35,-5.50622423394,parado,0.0,,green,parado,-5.50622423394,,0.0,2.0,left
36,-10.9285643931,left,13.0,,red,parado,-10.9285643931,,0.0,2.0,left
37,-10.7886664154,left,53.0,,red,forward,-10.7886664154,,0.0,2.0,left
38,-5.06165503405,parado,56.0,,green,forward,-5.06165503405,,0.0,2.0,left
39,1.41265183879,left,1.0,,green,parado,1.41265183879,,0.0,2.0,left
40,0.355950085127,left,61.0,,green,left,0.355950085127,,0.0,2.0,forward
41,-4.62446217273,parado,36.0,,green,forward,-4.62446217273,,0.0,2.0,right
42,0.741313181012,parado,24.0,,red,parado,0.741313181012,,0.0,2.0,right
43,-39.8785848129,left,25.0,,red,parado,-39.8785848129,,0.0,2.0,right
44,0.427452641829,left,49.0,,green,left,0.427452641829,,0.0,2.0,right
45,2.69584678462,parado,20.0,,red,parado,2.69584678462,,0.0,3.0,forward
46,2.85135363162,parado,20.0,,red,parado,2.85135363162,,0.0,3.0,forward
