trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0, 'e': 0.9}",20,0,-109.17794498797966,"{0: 8, 1: 7, 2: 4, 3: 0, 4: 1}",0
2,False,"{'a': 0, 'e': 0.81}",20,0,-145.3376341209906,"{0: 9, 1: 3, 2: 6, 3: 0, 4: 2}",0
3,False,"{'a': 0, 'e': 0.7290000000000001}",20,0,-272.7648714823746,"{0: 3, 1: 6, 2: 5, 3: 2, 4: 4}",0
4,False,"{'a': 0, 'e': 0.6561}",30,0,-186.26341891758548,"{0: 12, 1: 7, 2: 9, 3: 0, 4: 2}",0
5,False,"{'a': 0, 'e': 0.5904900000000001}",35,15,-230.9427050695004,"{0: 8, 1: 2, 2: 5, 3: 1, 4: 4}",1
6,False,"{'a': 0, 'e': 0.531441}",25,0,-224.58925011741604,"{0: 8, 1: 5, 2: 9, 3: 0, 4: 3}",0
7,False,"{'a': 0, 'e': 0.4782969000000001}",25,0,-256.9647559487635,"{0: 8, 1: 2, 2: 11, 3: 1, 4: 3}",0
8,False,"{'a': 0, 'e': 0.4304672100000001}",20,0,-200.24455472473258,"{0: 10, 1: 2, 2: 3, 3: 1, 4: 4}",0
9,False,"{'a': 0, 'e': 0.3874204890000001}",20,0,-131.5033960793492,"{0: 7, 1: 5, 2: 7, 3: 0, 4: 1}",0
10,False,"{'a': 0, 'e': 0.3486784401000001}",20,0,-294.66487447398725,"{0: 2, 1: 7, 2: 6, 3: 0, 4: 5}",0
11,False,"{'a': 0, 'e': 0.31381059609000006}",25,0,-108.58758118369082,"{0: 15, 1: 2, 2: 7, 3: 0, 4: 1}",0
12,False,"{'a': 0, 'e': 0.2824295364810001}",25,0,-180.11077020592757,"{0: 5, 1: 8, 2: 11, 3: 0, 4: 1}",0
13,False,"{'a': 0, 'e': 0.2541865828329001}",35,0,-352.3101473318437,"{0: 7, 1: 14, 2: 9, 3: 0, 4: 5}",0
14,False,"{'a': 0, 'e': 0.2287679245496101}",20,0,-209.97970237479774,"{0: 5, 1: 5, 2: 7, 3: 0, 4: 3}",0
15,False,"{'a': 0, 'e': 0.20589113209464907}",25,0,-190.91110916111586,"{0: 5, 1: 8, 2: 11, 3: 0, 4: 1}",0
16,False,"{'a': 0, 'e': 0.18530201888518416}",25,0,-249.03086712396833,"{0: 8, 1: 6, 2: 7, 3: 0, 4: 4}",0
17,False,"{'a': 0, 'e': 0.16677181699666577}",20,0,-219.8574071737364,"{0: 4, 1: 6, 2: 7, 3: 0, 4: 3}",0
18,False,"{'a': 0, 'e': 0.15009463529699918}",20,0,-174.852992248857,"{0: 5, 1: 6, 2: 7, 3: 0, 4: 2}",0
19,False,"{'a': 0, 'e': 0.13508517176729928}",25,0,-219.25135608017763,"{0: 6, 1: 10, 2: 6, 3: 0, 4: 3}",0
20,False,"{'a': 0, 'e': 0.12157665459056935}",20,0,-152.10955319377274,"{0: 8, 1: 5, 2: 4, 3: 1, 4: 2}",0
21,False,"{'a': 0, 'e': 0.10941898913151242}",25,0,-225.57793238172482,"{0: 4, 1: 10, 2: 8, 3: 1, 4: 2}",0
22,False,"{'a': 0, 'e': 0.09847709021836118}",20,0,-218.71552739479728,"{0: 5, 1: 4, 2: 8, 3: 0, 4: 3}",0
23,False,"{'a': 0, 'e': 0.08862938119652507}",25,0,-152.54300187209404,"{0: 7, 1: 6, 2: 11, 3: 1, 4: 0}",0
24,False,"{'a': 0, 'e': 0.07976644307687256}",30,0,-303.05957872129727,"{0: 9, 1: 5, 2: 11, 3: 1, 4: 4}",0
