trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 1, 'e': 0.9}",20,0,-98.99430609583308,"{0: 10, 1: 2, 2: 6, 3: 2, 4: 0}",0
2,False,"{'a': 1, 'e': 0.81}",25,0,-108.45430854195827,"{0: 16, 1: 1, 2: 6, 3: 1, 4: 1}",0
3,False,"{'a': 1, 'e': 0.7290000000000001}",35,0,-120.77047338869338,"{0: 23, 1: 3, 2: 6, 3: 2, 4: 1}",0
4,False,"{'a': 1, 'e': 0.6561}",20,0,-31.550283393030533,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
5,False,"{'a': 1, 'e': 0.5904900000000001}",20,0,-47.05343214652306,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
6,False,"{'a': 1, 'e': 0.531441}",25,0,-92.38328585228122,"{0: 19, 1: 0, 2: 2, 3: 3, 4: 1}",0
7,False,"{'a': 1, 'e': 0.4782969000000001}",20,0,-101.38151593431813,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
8,False,"{'a': 1, 'e': 0.4304672100000001}",25,0,-139.43796470219283,"{0: 18, 1: 1, 2: 2, 3: 1, 4: 3}",0
9,False,"{'a': 1, 'e': 0.3874204890000001}",20,10,20.841140734142165,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,False,"{'a': 1, 'e': 0.3486784401000001}",20,10,14.066078567588324,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
11,False,"{'a': 1, 'e': 0.31381059609000006}",25,11,-39.597340477723485,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 1}",1
12,False,"{'a': 1, 'e': 0.2824295364810001}",20,9,-4.652416336852949,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
13,False,"{'a': 1, 'e': 0.2541865828329001}",20,14,10.71152078638449,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,False,"{'a': 1, 'e': 0.2287679245496101}",30,0,25.31316981868023,"{0: 28, 1: 1, 2: 1, 3: 0, 4: 0}",0
15,False,"{'a': 1, 'e': 0.20589113209464907}",25,0,-41.931642374745834,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
16,False,"{'a': 1, 'e': 0.18530201888518416}",30,0,-70.11248558728253,"{0: 24, 1: 1, 2: 2, 3: 2, 4: 1}",0
17,False,"{'a': 1, 'e': 0.16677181699666577}",30,18,19.5518976724883,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 1, 'e': 0.15009463529699918}",20,0,14.218825739713893,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
19,False,"{'a': 1, 'e': 0.13508517176729928}",35,0,-3.5576012298075885,"{0: 32, 1: 1, 2: 1, 3: 0, 4: 1}",0
20,False,"{'a': 1, 'e': 0.12157665459056935}",20,8,10.202023652519237,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
21,False,"{'a': 1, 'e': 0.10941898913151242}",20,7,-25.28066618182391,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 1}",1
22,False,"{'a': 1, 'e': 0.09847709021836118}",20,14,10.87323155632851,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
23,False,"{'a': 1, 'e': 0.08862938119652507}",20,9,7.269022951391916,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
24,False,"{'a': 1, 'e': 0.07976644307687256}",20,15,9.042541906655002,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
25,False,"{'a': 1, 'e': 0.0717897987691853}",25,13,18.46786899681219,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
26,False,"{'a': 1, 'e': 0.06461081889226677}",25,17,-35.9965986088353,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 1}",1
27,False,"{'a': 1, 'e': 0.058149737003040096}",20,11,16.545905861020312,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
28,False,"{'a': 1, 'e': 0.05233476330273609}",35,17,23.159154240921126,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
29,False,"{'a': 1, 'e': 0.047101286972462485}",25,14,19.053573229502256,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",30,9,31.43719940742681,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",25,7,30.250517797067793,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",25,7,31.921179385103425,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",30,21,-2.604651065832782,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",25,15,15.529586970546536,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",20,16,8.57012405141189,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",20,6,24.716086262089945,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",20,0,33.294301367515466,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
9,True,"{'a': 0, 'e': 0}",20,3,31.26825156406412,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",30,14,27.920825343160573,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
11,True,"{'a': 0, 'e': 0}",20,9,19.608339683032156,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
12,True,"{'a': 0, 'e': 0}",20,16,6.470199373766448,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
13,True,"{'a': 0, 'e': 0}",25,11,24.01633492594188,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,True,"{'a': 0, 'e': 0}",30,9,26.011763184455695,"{0: 20, 1: 1, 2: 0, 3: 0, 4: 0}",1
15,True,"{'a': 0, 'e': 0}",20,10,8.531363973453091,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
16,True,"{'a': 0, 'e': 0}",20,3,24.294905748079785,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,True,"{'a': 0, 'e': 0}",20,9,18.797224179276874,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,True,"{'a': 0, 'e': 0}",30,11,31.498063738399,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,True,"{'a': 0, 'e': 0}",20,7,24.205112886246216,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,True,"{'a': 0, 'e': 0}",20,4,29.5747395411518,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
21,True,"{'a': 0, 'e': 0}",20,9,20.32896137880129,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
22,True,"{'a': 0, 'e': 0}",20,7,22.42704999110595,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
23,True,"{'a': 0, 'e': 0}",20,3,23.125951454479523,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
24,True,"{'a': 0, 'e': 0}",20,10,18.704843514908802,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
