trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
43,False,"{'a': 0, 'e': 0.11018311023500528}",20,0,-160.80871306231407,"{0: 9, 1: 1, 2: 8, 3: 0, 4: 2}",0
44,False,"{'a': 0, 'e': 0.10467395472325501}",20,0,-92.4092370266917,"{0: 10, 1: 0, 2: 10, 3: 0, 4: 0}",0
45,False,"{'a': 0, 'e': 0.09944025698709225}",25,0,-270.1978908192205,"{0: 12, 1: 0, 2: 8, 3: 0, 4: 5}",0
46,False,"{'a': 0, 'e': 0.09446824413773763}",25,0,-169.42946752106758,"{0: 15, 1: 0, 2: 7, 3: 0, 4: 3}",0
47,False,"{'a': 0, 'e': 0.08974483193085075}",20,3,-177.18717952377776,"{0: 7, 1: 1, 2: 6, 3: 0, 4: 3}",1
48,False,"{'a': 0, 'e': 0.0852575903343082}",20,0,-151.2858632436117,"{0: 11, 1: 0, 2: 6, 3: 1, 4: 2}",0
49,False,"{'a': 0, 'e': 0.0809947108175928}",25,0,-344.3953425678197,"{0: 10, 1: 1, 2: 7, 3: 0, 4: 7}",0
50,False,"{'a': 0, 'e': 0.07694497527671315}",20,0,-99.85536920319058,"{0: 11, 1: 1, 2: 7, 3: 0, 4: 1}",0
51,False,"{'a': 0, 'e': 0.07309772651287749}",25,0,-285.04614752781083,"{0: 8, 1: 5, 2: 7, 3: 0, 4: 5}",0
52,False,"{'a': 0, 'e': 0.06944284018723361}",20,0,-172.09262731750763,"{0: 10, 1: 2, 2: 5, 3: 0, 4: 3}",0
53,False,"{'a': 0, 'e': 0.06597069817787193}",20,0,-75.08261486781655,"{0: 11, 1: 2, 2: 7, 3: 0, 4: 0}",0
54,False,"{'a': 0, 'e': 0.06267216326897833}",25,0,-196.5199082186162,"{0: 10, 1: 1, 2: 12, 3: 0, 4: 2}",0
55,False,"{'a': 0, 'e': 0.05953855510552941}",25,0,-143.268400562817,"{0: 12, 1: 1, 2: 11, 3: 0, 4: 1}",0
56,False,"{'a': 0, 'e': 0.056561627350252934}",25,0,-211.4957046370497,"{0: 14, 1: 1, 2: 6, 3: 0, 4: 4}",0
57,False,"{'a': 0, 'e': 0.053733545982740286}",25,0,-165.7049199289106,"{0: 14, 1: 1, 2: 6, 3: 2, 4: 2}",0
58,False,"{'a': 0, 'e': 0.051046868683603266}",20,0,-116.65602907807464,"{0: 10, 1: 1, 2: 8, 3: 0, 4: 1}",0
59,False,"{'a': 0, 'e': 0.048494525249423104}",20,0,-285.5034416420417,"{0: 8, 1: 2, 2: 4, 3: 0, 4: 6}",0
1,True,"{'a': 0, 'e': 0}",25,0,-137.4378401549138,"{0: 16, 1: 4, 2: 2, 3: 0, 4: 3}",0
2,True,"{'a': 0, 'e': 0}",20,0,-138.2337552163225,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
3,True,"{'a': 0, 'e': 0}",20,0,-214.3206353495135,"{0: 9, 1: 1, 2: 6, 3: 0, 4: 4}",0
4,True,"{'a': 0, 'e': 0}",25,0,-116.9049333519525,"{0: 14, 1: 2, 2: 8, 3: 0, 4: 1}",0
5,True,"{'a': 0, 'e': 0}",25,0,-204.62740742973162,"{0: 11, 1: 1, 2: 9, 3: 2, 4: 2}",0
