trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
15,True,"{'a': 0, 'e': 0}",25,0,33.84135478299985,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",1
16,True,"{'a': 0, 'e': 0}",20,0,26.887034828728382,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
17,True,"{'a': 0, 'e': 0}",25,3,35.56188434921771,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,True,"{'a': 0, 'e': 0}",30,13,20.094374520309852,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
19,True,"{'a': 0, 'e': 0}",30,11,30.94768055719551,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,True,"{'a': 0, 'e': 0}",20,0,27.379854488523936,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
21,True,"{'a': 0, 'e': 0}",25,18,15.769238187568916,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
22,True,"{'a': 0, 'e': 0}",20,0,-11.290892916457459,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
23,True,"{'a': 0, 'e': 0}",25,0,35.53569632397589,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
24,True,"{'a': 0, 'e': 0}",20,13,12.955816431322845,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
25,True,"{'a': 0, 'e': 0}",25,0,40.44384197821038,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
26,True,"{'a': 0, 'e': 0}",20,0,32.46475065498537,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
27,True,"{'a': 0, 'e': 0}",25,13,21.64515295360563,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
28,True,"{'a': 0, 'e': 0}",20,13,12.314565951806054,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
29,True,"{'a': 0, 'e': 0}",25,0,32.21082496794885,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
30,True,"{'a': 0, 'e': 0}",30,3,25.826102258526063,"{0: 25, 1: 0, 2: 2, 3: 0, 4: 0}",1
31,True,"{'a': 0, 'e': 0}",20,0,29.37869339336433,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
32,True,"{'a': 0, 'e': 0}",25,13,23.063496944981694,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
33,True,"{'a': 0, 'e': 0}",20,3,27.788079101498894,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
34,True,"{'a': 0, 'e': 0}",20,0,26.636294272936556,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
35,True,"{'a': 0, 'e': 0}",30,0,4.940247172654886,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 1}",0
36,True,"{'a': 0, 'e': 0}",35,0,50.88146721546151,"{0: 35, 1: 0, 2: 0, 3: 0, 4: 0}",0
37,True,"{'a': 0, 'e': 0}",20,0,15.036114229872487,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
38,True,"{'a': 0, 'e': 0}",20,0,30.370165208629693,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
39,True,"{'a': 0, 'e': 0}",20,0,16.790548279272883,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
40,True,"{'a': 0, 'e': 0}",25,6,34.06788338618268,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
41,True,"{'a': 0, 'e': 0}",20,14,11.193339245170575,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
42,True,"{'a': 0, 'e': 0}",20,0,32.73920908306604,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
43,True,"{'a': 0, 'e': 0}",20,0,29.41937209740492,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
44,True,"{'a': 0, 'e': 0}",30,0,37.01629068851762,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
45,True,"{'a': 0, 'e': 0}",20,0,34.505704497289855,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
46,True,"{'a': 0, 'e': 0}",20,0,29.216923947641064,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
47,True,"{'a': 0, 'e': 0}",20,3,15.401656828138801,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
48,True,"{'a': 0, 'e': 0}",20,0,-8.517461829683466,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
49,True,"{'a': 0, 'e': 0}",20,2,30.2929911791805,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
50,True,"{'a': 0, 'e': 0}",30,0,38.44763507231955,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
