trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0, 'e': 0.95}",25,0,-240.32541294850478,"{0: 11, 1: 3, 2: 6, 3: 1, 4: 4}",0
2,False,"{'a': 0, 'e': 0.9025}",20,0,-79.23607188998106,"{0: 11, 1: 1, 2: 7, 3: 1, 4: 0}",0
3,False,"{'a': 0, 'e': 0.8573749999999999}",20,0,-106.84528623352294,"{0: 11, 1: 0, 2: 8, 3: 0, 4: 1}",0
4,False,"{'a': 0, 'e': 0.8145062499999999}",30,0,-309.65567893341637,"{0: 12, 1: 4, 2: 8, 3: 1, 4: 5}",0
5,False,"{'a': 0, 'e': 0.7737809374999998}",25,0,-193.84038368561104,"{0: 11, 1: 4, 2: 5, 3: 3, 4: 2}",0
6,False,"{'a': 0, 'e': 0.7350918906249998}",25,0,-210.03218841244214,"{0: 10, 1: 6, 2: 5, 3: 1, 4: 3}",0
7,False,"{'a': 0, 'e': 0.6983372960937497}",20,0,-222.8939050602557,"{0: 6, 1: 2, 2: 8, 3: 1, 4: 3}",0
8,False,"{'a': 0, 'e': 0.6634204312890623}",20,0,-133.4738664914412,"{0: 9, 1: 1, 2: 8, 3: 1, 4: 1}",0
9,False,"{'a': 0, 'e': 0.6302494097246091}",20,0,-137.17486315738202,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 3}",0
10,False,"{'a': 0, 'e': 0.5987369392383787}",20,0,-173.90545415097225,"{0: 9, 1: 3, 2: 5, 3: 0, 4: 3}",0
11,False,"{'a': 0, 'e': 0.5688000922764597}",30,0,-216.29949886973804,"{0: 11, 1: 7, 2: 9, 3: 1, 4: 2}",0
12,False,"{'a': 0, 'e': 0.5403600876626367}",20,0,-166.9112766519575,"{0: 5, 1: 4, 2: 9, 3: 1, 4: 1}",0
13,False,"{'a': 0, 'e': 0.5133420832795048}",25,0,-86.87412148820512,"{0: 12, 1: 8, 2: 4, 3: 1, 4: 0}",0
14,False,"{'a': 0, 'e': 0.48767497911552954}",20,0,-139.79767939874907,"{0: 9, 1: 4, 2: 3, 3: 3, 4: 1}",0
15,False,"{'a': 0, 'e': 0.46329123015975304}",25,0,-143.1533192375402,"{0: 11, 1: 4, 2: 8, 3: 1, 4: 1}",0
16,False,"{'a': 0, 'e': 0.44012666865176536}",25,0,-212.41842968635746,"{0: 14, 1: 1, 2: 5, 3: 1, 4: 4}",0
17,False,"{'a': 0, 'e': 0.4181203352191771}",30,0,-197.02552279771353,"{0: 11, 1: 10, 2: 6, 3: 1, 4: 2}",0
18,False,"{'a': 0, 'e': 0.3972143184582182}",35,0,-178.9453744417295,"{0: 18, 1: 5, 2: 9, 3: 2, 4: 1}",0
19,False,"{'a': 0, 'e': 0.37735360253530725}",20,0,-86.90132704545931,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
20,False,"{'a': 0, 'e': 0.3584859224085419}",20,0,-162.8730676334173,"{0: 9, 1: 5, 2: 3, 3: 0, 4: 3}",0
21,False,"{'a': 0, 'e': 0.3405616262881148}",30,0,-137.02878429706078,"{0: 15, 1: 5, 2: 8, 3: 1, 4: 1}",0
22,False,"{'a': 0, 'e': 0.323533544973709}",20,0,-37.74695186622252,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
23,False,"{'a': 0, 'e': 0.3073568677250236}",20,5,-67.77972494709107,"{0: 9, 1: 1, 2: 4, 3: 0, 4: 1}",1
24,False,"{'a': 0, 'e': 0.2919890243387724}",20,0,-80.89101056957624,"{0: 11, 1: 4, 2: 4, 3: 0, 4: 1}",0
25,False,"{'a': 0, 'e': 0.27738957312183377}",30,0,-184.95633868475693,"{0: 14, 1: 10, 2: 2, 3: 1, 4: 3}",0
26,False,"{'a': 0, 'e': 0.26352009446574204}",25,0,-82.6309385277181,"{0: 11, 1: 9, 2: 5, 3: 0, 4: 0}",0
27,False,"{'a': 0, 'e': 0.2503440897424549}",25,0,-138.65267853035502,"{0: 11, 1: 5, 2: 7, 3: 1, 4: 1}",0
28,False,"{'a': 0, 'e': 0.23782688525533216}",25,0,-155.64198437240097,"{0: 10, 1: 6, 2: 6, 3: 2, 4: 1}",0
29,False,"{'a': 0, 'e': 0.22593554099256555}",25,0,-178.98329469668252,"{0: 8, 1: 4, 2: 11, 3: 1, 4: 1}",0
30,False,"{'a': 0, 'e': 0.21463876394293727}",30,11,-76.89143058437803,"{0: 9, 1: 6, 2: 2, 3: 2, 4: 0}",1
31,False,"{'a': 0, 'e': 0.2039068257457904}",30,0,-148.89651147187035,"{0: 10, 1: 10, 2: 8, 3: 2, 4: 0}",0
32,False,"{'a': 0, 'e': 0.19371148445850087}",30,0,-136.35848894263054,"{0: 15, 1: 7, 2: 4, 3: 4, 4: 0}",0
33,False,"{'a': 0, 'e': 0.18402591023557582}",25,0,-199.84617092748658,"{0: 8, 1: 8, 2: 5, 3: 2, 4: 2}",0
34,False,"{'a': 0, 'e': 0.174824614723797}",20,0,-192.2573169051362,"{0: 6, 1: 6, 2: 3, 3: 3, 4: 2}",0
35,False,"{'a': 0, 'e': 0.16608338398760716}",20,0,-142.4255481712566,"{0: 11, 1: 2, 2: 3, 3: 2, 4: 2}",0
36,False,"{'a': 0, 'e': 0.1577792147882268}",25,0,-254.62227673965754,"{0: 4, 1: 9, 2: 8, 3: 1, 4: 3}",0
37,False,"{'a': 0, 'e': 0.14989025404881545}",25,0,-108.0598314736225,"{0: 12, 1: 7, 2: 3, 3: 3, 4: 0}",0
38,False,"{'a': 0, 'e': 0.14239574134637467}",20,0,-67.0159125407974,"{0: 11, 1: 4, 2: 4, 3: 1, 4: 0}",0
39,False,"{'a': 0, 'e': 0.13527595427905592}",30,0,-252.29199471456064,"{0: 11, 1: 10, 2: 5, 3: 0, 4: 4}",0
40,False,"{'a': 0, 'e': 0.12851215656510312}",25,0,-107.97739394614551,"{0: 11, 1: 5, 2: 8, 3: 1, 4: 0}",0
41,False,"{'a': 0, 'e': 0.12208654873684796}",20,0,-183.39780151222976,"{0: 5, 1: 5, 2: 8, 3: 0, 4: 2}",0
42,False,"{'a': 0, 'e': 0.11598222130000556}",20,0,-113.17099709398798,"{0: 7, 1: 7, 2: 5, 3: 0, 4: 1}",0
43,False,"{'a': 0, 'e': 0.11018311023500528}",20,0,-180.09276359748503,"{0: 9, 1: 2, 2: 6, 3: 0, 4: 3}",0
44,False,"{'a': 0, 'e': 0.10467395472325501}",25,0,-215.84224979317662,"{0: 6, 1: 5, 2: 12, 3: 0, 4: 2}",0
45,False,"{'a': 0, 'e': 0.09944025698709225}",20,0,-146.35350816033815,"{0: 8, 1: 5, 2: 5, 3: 0, 4: 2}",0
46,False,"{'a': 0, 'e': 0.09446824413773763}",20,0,-95.90070370988643,"{0: 8, 1: 7, 2: 3, 3: 2, 4: 0}",0
47,False,"{'a': 0, 'e': 0.08974483193085075}",30,4,-236.87087092197035,"{0: 8, 1: 6, 2: 8, 3: 1, 4: 3}",1
48,False,"{'a': 0, 'e': 0.0852575903343082}",25,0,-213.8120325603497,"{0: 8, 1: 7, 2: 5, 3: 3, 4: 2}",0
49,False,"{'a': 0, 'e': 0.0809947108175928}",30,0,-150.50010004016508,"{0: 13, 1: 7, 2: 8, 3: 1, 4: 1}",0
50,False,"{'a': 0, 'e': 0.07694497527671315}",25,0,-174.65915109897577,"{0: 7, 1: 9, 2: 6, 3: 2, 4: 1}",0
51,False,"{'a': 0, 'e': 0.07309772651287749}",25,0,-65.66678241000234,"{0: 14, 1: 7, 2: 3, 3: 1, 4: 0}",1
52,False,"{'a': 0, 'e': 0.06944284018723361}",25,0,-153.46433015471686,"{0: 10, 1: 8, 2: 3, 3: 3, 4: 1}",0
53,False,"{'a': 0, 'e': 0.06597069817787193}",20,0,-94.6899899216597,"{0: 13, 1: 3, 2: 0, 3: 3, 4: 1}",0
54,False,"{'a': 0, 'e': 0.06267216326897833}",25,0,-313.97638095783464,"{0: 5, 1: 5, 2: 9, 3: 2, 4: 4}",0
55,False,"{'a': 0, 'e': 0.05953855510552941}",20,0,-91.49995362254573,"{0: 8, 1: 8, 2: 2, 3: 2, 4: 0}",0
56,False,"{'a': 0, 'e': 0.056561627350252934}",25,0,-96.00085546359637,"{0: 14, 1: 7, 2: 2, 3: 1, 4: 1}",0
57,False,"{'a': 0, 'e': 0.053733545982740286}",30,0,-105.57401023636238,"{0: 14, 1: 9, 2: 6, 3: 1, 4: 0}",0
58,False,"{'a': 0, 'e': 0.051046868683603266}",25,0,-104.322293317574,"{0: 11, 1: 5, 2: 9, 3: 0, 4: 0}",0
59,False,"{'a': 0, 'e': 0.048494525249423104}",35,0,-154.68275662018775,"{0: 17, 1: 11, 2: 3, 3: 3, 4: 1}",0
1,True,"{'a': 0, 'e': 0}",30,0,-243.72298460906464,"{0: 9, 1: 11, 2: 6, 3: 1, 4: 3}",0
2,True,"{'a': 0, 'e': 0}",20,0,-172.74884080260517,"{0: 4, 1: 5, 2: 7, 3: 4, 4: 0}",0
3,True,"{'a': 0, 'e': 0}",20,0,-151.3311365730252,"{0: 7, 1: 4, 2: 6, 3: 2, 4: 1}",0
