trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
41,True,"{'a': 0, 'e': 0}",20,0,35.7374138766542,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
42,True,"{'a': 0, 'e': 0}",25,6,31.5038038905185,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
43,True,"{'a': 0, 'e': 0}",30,0,41.601769145743226,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
44,True,"{'a': 0, 'e': 0}",20,0,27.83605635265447,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
45,True,"{'a': 0, 'e': 0}",20,0,30.085974730237847,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
46,True,"{'a': 0, 'e': 0}",35,0,55.46166221648672,"{0: 35, 1: 0, 2: 0, 3: 0, 4: 0}",0
47,True,"{'a': 0, 'e': 0}",25,0,42.37075437564334,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
48,True,"{'a': 0, 'e': 0}",25,14,19.130616339390734,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
49,True,"{'a': 0, 'e': 0}",20,0,33.023174005294486,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
50,True,"{'a': 0, 'e': 0}",20,0,26.193039477970814,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
