trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9}",25,0,-104.4609351294024,"{0: 18, 1: 1, 2: 3, 3: 2, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.81}",20,0,-67.3344061019022,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.7290000000000001}",20,0,-112.97230128899588,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.6561}",25,13,-23.964517614798325,"{0: 7, 1: 3, 2: 2, 3: 0, 4: 0}",1
5,False,"{'a': 0.5, 'e': 0.5904900000000001}",20,8,-97.44096111464245,"{0: 8, 1: 0, 2: 1, 3: 1, 4: 2}",1
6,False,"{'a': 0.5, 'e': 0.531441}",20,0,-35.99719710900753,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.4782969000000001}",25,0,-137.37169960576438,"{0: 17, 1: 2, 2: 3, 3: 0, 4: 3}",0
8,False,"{'a': 0.5, 'e': 0.4304672100000001}",20,0,-11.496361798937524,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.3874204890000001}",25,10,-21.886249324383847,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 1}",1
10,False,"{'a': 0.5, 'e': 0.3486784401000001}",20,2,-38.82340937827401,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 1}",1
11,False,"{'a': 0.5, 'e': 0.31381059609000006}",35,16,-55.252316089847525,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 1}",1
12,False,"{'a': 0.5, 'e': 0.2824295364810001}",25,0,-51.30717109321211,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.2541865828329001}",35,0,-32.19033258641696,"{0: 27, 1: 1, 2: 7, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.2287679245496101}",20,8,16.650132757312925,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.20589113209464907}",25,9,8.909276316661561,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.18530201888518416}",25,8,-3.9583920287171095,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.16677181699666577}",20,8,11.835691392936425,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.15009463529699918}",20,0,12.706218858652349,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.13508517176729928}",25,5,16.879398961770743,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': 0.12157665459056935}",20,0,25.04098509074829,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
21,False,"{'a': 0.5, 'e': 0.10941898913151242}",20,8,12.344213738890975,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
